ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MR,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
MU,,,,0.18,0.18,0.18,0.18,0.18,0.18,0.73,1.28,1.28,1.28,1.28,1.28,1.28,10.63,10.63,10.63,10.63,10.63,10.63,10.63
YT,,,,,,,,,,,,,,,,,,,,,,,
MX,17.0,17.0,18.0,18.0,18.0,18.0,101.0,101.0,101.0,425.0,519.0,601.0,1815.0,2122.0,2569.0,3271.0,4051.0,4180.39,4180.26,6541.26,6995.43,7154.53,7312.66
FM,,,,,,,,,,,,,,,,,,,0.83,0.83,0.83,0.83,0.83
MN,,,,,,,,,,,,,,49.6,49.6,49.6,49.6,100.0,155.0,155.0,155.0,155.0,155.0
ME,,,,,,,,,,,,,,,,,,72.0,72.0,118.0,118.0,118.0,118.0
MS,,,,,,,,,,,,,,,,,,,,,,,
MA,54.0,54.0,54.0,54.0,54.0,54.0,54.0,114.0,114.0,221.0,221.0,250.0,250.0,490.0,792.0,792.0,897.0,1017.0,1220.0,1220.0,1430.0,1466.0,1553.0
MZ,,,,,,,,,,,,,,,,,,,,,,,
MM,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,5.22,5.22,5.22,5.22,5.22,5.22
NR,,,,,,,,,,,,,,,,,,,,,,,
NP,,,,,,,,,,,,,,,,,,,,,,,
NL,447.0,486.0,672.0,905.0,1075.0,1224.0,1453.0,1641.0,1921.0,1994.0,2009.0,2088.0,2205.0,2485.0,2637.0,3033.84,3300.12,3245.0,3436.11,3527.16,4188.38,5309.87,6176.0
NC,3.83,4.37,6.57,11.19,22.74,22.74,28.24,32.36,32.36,37.31,37.31,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59,37.59
NZ,36.0,36.0,53.0,72.0,166.0,168.0,169.0,320.0,322.0,513.0,540.0,623.0,623.0,623.0,682.0,689.0,690.0,690.0,690.0,690.0,690.0,913.0,913.0
NI,,,,,,,,,,39.9,63.0,63.0,146.6,146.6,186.2,186.2,186.2,186.2,186.2,186.2,186.2,186.2,186.2
NE,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,
NU,,,,,,,,,,,,,,,,,,,,,,,
MK,,,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
NO,13.0,13.0,97.0,97.0,152.0,265.0,284.0,348.0,395.0,420.7,422.7,509.7,702.7,815.7,856.7,864.7,880.7,1204.7,1707.7,2911.7,4027.7,5042.7,5067.7
OM,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0
PK,,,,,,,,,6.0,6.0,6.0,6.0,56.0,105.9,205.4,308.2,590.5,789.0,1185.7,1235.7,1235.7,1335.0,1435.0
PW,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,20.0,55.0,252.5,270.0,270.0,270.0,270.0,270.0,270.0,336.0
PG,,,,,,,,,,,,,,,,,,,,,,,
PY,,,,,,,,,,,,,,,,,,,,,,,
PE,,,,,,,,,,,,,,,142.0,239.1,239.25,239.25,371.55,371.55,408.29,408.29,408.29
PH,,,,,,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,336.9,426.9,426.9,426.9,426.9,426.9,426.9,426.9,426.9
PL,4.0,19.0,32.0,35.0,40.0,121.0,172.0,306.0,526.0,709.0,1108.0,1800.0,2564.0,3429.0,3836.0,4886.0,5747.0,5759.36,5766.08,5837.76,6298.25,6967.34,7987.34
PT,83.0,125.0,190.0,268.0,553.0,1064.0,1681.0,2201.0,2857.0,3326.0,3796.0,4254.35,4409.55,4607.95,4854.56,4934.84,5124.1,5124.1,5172.36,5222.75,5097.26,5402.33,5430.33
PR,,,,,,,,,,,,0.01,99.81,99.8,99.02,100.42,99.02,99.02,99.04,99.04,99.04,99.04,99.04
QA,,,,,,,,,,,,,,,,,,,,,,,
KR,7.0,11.0,13.0,19.0,29.0,99.0,178.0,196.0,304.0,351.0,382.0,425.0,459.0,571.0,601.5,836.5,1026.5,1169.5,1347.0,1421.0,1509.0,1588.0,1772.46
MD,,,,,,,,,,,,,,1.0,1.0,1.0,1.78,9.19,33.0,35.0,41.0,67.0,115.1
RO,,,,,,1.0,1.0,3.0,5.0,15.0,389.0,988.0,1822.0,2773.0,3244.0,3130.0,3025.0,3029.8,3032.26,3037.52,3012.53,3014.96,3014.96
RU,3.0,3.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.9,10.9,10.9,51.9,101.9,945.3,1955.0,2218.0
RW,,,,,,,,,,,,,,,,,,,,,,,
RE,,,,,6.6,10.45,13.48,14.83,14.83,14.83,14.83,14.83,14.83,14.83,14.83,14.83,16.5,16.5,16.5,16.5,16.5,16.5,16.5
BL,,,,,,,,,,,,,,,,,,,,,,,
KN,,,,,,,,,,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
LC,,,,,,,,,,,,,,,,,,,,,,,
MF,,,,,,,,,,,,,,,,,,,,,,,
PM,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,
VC,,,,,,,,,,,,,,,,,,,,,,,
WS,,,,,,,,,,,,,,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
ST,,,,,,,,,,,,,,,,,,,,,,,
SA,,,,,,,,,,,,,,,,,,2.75,2.75,3.25,3.25,3.25,3.25
SN,,,,,,,,,,,,,,,,,,,,55.2,158.7,158.7,158.7
RS,,,,,,,,,,,,,0.5,0.5,0.5,10.4,17.0,25.0,227.0,398.0,398.0,398.0,398.0
SC,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
SL,,,,,,,,,,,,,,,,,,,,,,,
SG,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
SX,,,,,,,,,,,,,,,,,,,,,,,
SK,,,,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
SI,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,3.3,3.3,3.3,3.3,3.33,3.33
SB,,,,,,,,,,,,,,,,,,,,,,,
SO,,,,,,,,,,,,,,,,,,,,,,,
ZA,,,3.16,3.16,3.16,3.16,3.16,3.16,8.36,8.36,10.16,10.16,10.16,257.0,569.0,1079.0,1473.0,2094.0,2094.0,2094.0,2516.0,2955.5,3102.5
GS,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,
ES,2206.0,3397.0,4891.0,5945.0,8317.0,9918.0,11722.0,14820.0,16555.0,19176.0,20693.0,21529.0,22789.0,22953.0,22920.0,22938.0,22985.0,23119.48,23400.06,25585.08,26814.19,27902.65,29302.84
LK,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,33.85,43.85,76.65,81.45,121.45,131.45,131.45,131.45,128.45,128.45,179.0,252.0,252.0
PS,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,
SR,,,,,,,,,,,,,,,,,,,,,,,
SE,196.0,273.0,335.0,395.0,453.0,500.0,563.0,692.0,956.0,1312.0,1854.0,2601.0,3443.0,3982.0,4875.0,5606.0,6232.0,6408.0,7097.0,8478.0,9773.0,11923.0,14364.0
CH,3.0,5.0,5.0,5.0,9.0,12.0,12.0,12.0,14.0,18.0,42.0,46.0,49.0,60.0,60.0,60.0,75.0,75.0,75.0,75.0,87.0,87.0,87.0
SY,,,,,,,,,,,,,,,,,,,,,,,
TJ,,,,,,,,,,,,,,,,,,,,,,,
TH,,,,,,,0.34,0.94,1.08,5.1,5.6,7.3,111.7,222.7,224.5,233.9,507.04,627.82,1102.82,1506.82,1506.82,1545.3,1545.3
TL,,,,,,,,,,,,,,,,,,,,,,,
TG,,,,,,,,,,,,,,,,,,,,,,,
TK,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02
TO,,,,,,,,,,,,,,0.01,0.01,0.02,0.02,0.02,0.02,1.32,1.32,1.32,1.32
TT,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
TN,10.65,10.65,10.65,19.37,19.37,19.37,19.37,19.37,19.37,53.69,53.69,53.69,173.0,200.0,233.0,240.0,240.0,240.0,245.0,245.0,245.0,245.0,245.0
TM,,,,,,,,,,,,,,,,,,,,,,,
TC,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,
TR,19.0,19.0,19.0,19.0,19.0,21.0,59.0,146.0,364.0,792.0,1320.0,1729.0,2261.0,2760.0,3630.0,4503.0,5751.0,6516.15,7005.39,7591.16,8832.4,10606.98,11396.18
UG,,,,,,,,,,,,,,,,,,,,,,,
UA,5.0,36.23,46.23,54.4,71.4,76.6,76.6,82.0,83.0,86.0,88.0,146.0,248.0,362.0,513.9,513.9,526.0,553.0,620.77,1257.77,1402.0,1761.0,1761.0
AE,,,,,,,,,,,,,,0.85,1.7,1.7,,,,,,0.02,0.02
GB,431.0,490.0,531.0,678.0,809.0,1351.0,1651.0,2083.0,2849.8,3468.0,4080.0,4758.0,6035.0,7586.0,8573.0,9212.0,10833.0,12597.0,13425.0,13999.0,14075.0,14492.0,14832.0
TZ,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4
VI,,,,,,,,,,,,,,,,,,,,,,,
US,2377.0,3863.64,4416.64,5995.19,6455.8,8706.41,11328.79,16515.1,24651.3,34295.8,39349.7,45794.97,59453.3,60198.16,64430.17,72767.22,81473.06,87801.48,94636.89,103806.26,118634.24,132977.98,140820.31
UY,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,14.6,30.6,40.6,43.61,52.61,59.42,481.27,856.76,1211.46,1508.07,1508.07,1509.19,1509.19,1509.19,1509.19
UZ,,,,,,,,,,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75
VU,,,,,,,,,3.03,3.03,3.03,3.03,3.03,3.03,3.58,3.58,3.58,3.3,3.4,3.4,3.4,3.4,3.4
VE,,,,,,,,,,,,,29.82,50.2,50.2,50.2,50.2,50.2,50.2,27.85,50.0,50.0,50.0
VN,,,,,,,,,1.3,8.8,31.0,31.0,31.0,31.0,31.0,31.0,55.0,99.5,131.5,269.35,412.8,3118.0,3528.0
YE,,,,,,,,,,,,,,,,,,,,,,,
ZM,,,,,,,,,,,,,,,,,,,,,,,
ZW,,,,,,,,,,,,,,,,,,,,,,,
