ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HT,,,,,,,,,,,,0.03,0.43,0.58,0.67,0.81,0.81,1.26,1.26,1.26,1.26,1.26,1.26
HN,,,,,,,,,,,,,,,,391.0,412.0,453.9,513.8,515.82,515.92,519.56,519.63
HU,,,,,,,,0.4,1.0,1.0,2.0,4.0,12.0,35.0,89.0,172.0,235.0,344.0,728.0,1400.0,2131.0,2968.0,2988.0
IS,,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,2.74,2.74,2.12,2.12,9.13,32.0,481.48,828.87,1176.25,3062.68,4878.87,9012.66,17052.37,26025.97,33730.53,37852.28,47974.34,61081.47
ID,,,,,,,,,,,0.19,1.16,4.09,9.02,9.02,36.94,46.7,54.48,24.42,105.03,123.84,155.29,190.06
IR,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.07,0.61,9.0,9.0,42.83,184.1,286.0,345.5,429.39,455.48,539.0
IQ,,,,,,,,,,,,,,,,,,,0.58,0.58,0.58,0.58,2.58
IE,,,,,,,,,,,,,,,,,,,,,,,
IL,,,,,,1.0,1.3,1.8,3.0,24.5,69.9,189.7,280.0,440.0,650.0,790.0,900.0,1000.0,1340.0,1890.0,2410.0,3349.0,4169.0
IT,19.0,20.0,22.0,26.0,31.0,34.0,45.0,110.0,483.0,1264.0,3592.0,13131.0,16785.0,18185.0,18594.0,18901.0,19283.0,19682.29,20107.59,20865.28,21650.04,22594.26,25076.56
JM,,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.7,1.0,1.5,1.8,2.1,4.1,6.5,27.5,55.5,55.5,92.5,92.5,92.5,92.55
JP,330.0,453.0,637.0,860.0,1132.0,1422.0,1708.0,1919.0,2144.0,2627.0,3618.0,4914.0,6632.0,13599.0,23339.0,34150.0,42040.0,49500.0,56162.0,63192.0,71868.0,78413.0,83055.0
JO,,,,,,,,,,,,,,,,5.0,286.0,396.0,699.0,1185.0,1446.0,1518.2,1912.0
KZ,,,,,,,,,,,,,,0.5,5.04,57.06,57.3,58.8,209.0,541.7,911.6,1037.61,1146.23
KE,,,,,,,,,,,,0.52,0.52,0.75,2.35,2.59,5.85,9.77,61.6,66.53,67.69,115.46,205.02
KI,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.94,1.49,1.49,1.82,1.82,1.82,1.82,1.82
XK,,,,,,,,,,,,,,,,0.1,1.95,6.6,6.6,10.0,10.0,14.15,19.75
KW,,,,,,,,,,,,0.01,0.01,0.11,2.05,3.18,20.51,21.42,32.48,32.76,32.76,32.76,32.76
KG,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,0.01,0.01,0.01,0.01,0.64,0.64,0.64,6.71,32.64,32.64,32.64,32.64,32.64
LV,,,,,,,,,,,,,,,,,0.69,0.69,1.96,3.3,5.1,7.16,56.16
LB,,,,,,,,,,,0.33,0.47,0.29,1.8,4.37,10.58,23.47,36.18,50.04,71.2,84.96,184.95,434.95
LS,,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
LR,,,,,,,,,,,,,,,,,,,,,,,
LY,,,,,,,,,,,,,,,,,,,,,,,
LT,,,,,,,,,0.1,0.1,0.1,0.3,7.0,68.0,69.0,69.0,70.0,70.08,72.0,73.0,80.0,84.0,397.0
LU,,0.16,1.59,14.17,23.56,23.58,23.7,23.93,24.56,26.36,29.45,40.67,74.65,95.02,109.93,116.27,121.9,128.1,130.62,159.74,186.64,277.16,319.16
MG,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.01,20.01,20.01,20.01,20.01
MW,,,,,,,,,,,,,,0.83,0.83,0.83,0.83,0.83,0.87,0.87,0.87,60.87,60.87
