,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
6146,transf_1198_1,1827,1828,138000,230000,PH,"LINESTRING (122.2162 7.0814, 122.2172 7.0824)","MULTIPOINT ((122.2162 7.0814), (122.2172 7.0824))",POINT (122.2162 7.0814),POINT (122.2172 7.0824),122.2162,7.0814,122.2172,7.0824
6147,transf_1199_0,1829,1830,69000,138000,PH,"LINESTRING (124.5074 10.0277, 124.5084 10.0287)","MULTIPOINT ((124.5074 10.0277), (124.5084 10.0287))",POINT (124.5074 10.0277),POINT (124.5084 10.0287),124.5074,10.0277,124.5084,10.0287
6148,transf_1200_0,1831,1832,69000,138000,PH,"LINESTRING (125.9935 8.5012, 125.9945 8.5022)","MULTIPOINT ((125.9935 8.5012), (125.9945 8.5022))",POINT (125.9935 8.5012),POINT (125.9945 8.5022),125.9935,8.5012,125.9945,8.5022
6149,transf_1200_1,1832,1833,138000,230000,PH,"LINESTRING (125.9945 8.5022, 125.9955 8.5032)","MULTIPOINT ((125.9945 8.5022), (125.9955 8.5032))",POINT (125.9945 8.5022),POINT (125.9955 8.5032),125.9945,8.5022,125.9955,8.5032
6150,transf_1201_0,1834,1835,69000,138000,PH,"LINESTRING (123.2917 10.9277, 123.2927 10.9287)","MULTIPOINT ((123.2917 10.9277), (123.2927 10.9287))",POINT (123.2917 10.9277),POINT (123.2927 10.9287),123.2917,10.9277,123.2927,10.9287
6151,transf_1201_1,1835,1836,138000,230000,PH,"LINESTRING (123.2927 10.9287, 123.2937 10.9297)","MULTIPOINT ((123.2927 10.9287), (123.2937 10.9297))",POINT (123.2927 10.9287),POINT (123.2937 10.9297),123.2927,10.9287,123.2937,10.9297
6152,transf_1203_0,1838,1839,69000,230000,PH,"LINESTRING (120.4004 15.9585, 120.4014 15.9595)","MULTIPOINT ((120.4004 15.9585), (120.4014 15.9595))",POINT (120.4004 15.9585),POINT (120.4014 15.9595),120.4004,15.9585,120.4014,15.9595
6153,transf_1204_0,1840,1841,69000,138000,PH,"LINESTRING (125.476 6.9688, 125.477 6.9698)","MULTIPOINT ((125.476 6.9688), (125.477 6.9698))",POINT (125.476 6.9688),POINT (125.477 6.9698),125.476,6.9688,125.477,6.9698
6154,transf_1204_1,1841,1842,138000,230000,PH,"LINESTRING (125.477 6.9698, 125.478 6.9708)","MULTIPOINT ((125.477 6.9698), (125.478 6.9708))",POINT (125.477 6.9698),POINT (125.478 6.9708),125.477,6.9698,125.478,6.9708
6155,transf_1205_0,1843,1844,69000,138000,PH,"LINESTRING (122.5585 10.8345, 122.5595 10.8355)","MULTIPOINT ((122.5585 10.8345), (122.5595 10.8355))",POINT (122.5585 10.8345),POINT (122.5595 10.8355),122.5585,10.8345,122.5595,10.8355
6156,transf_1206_0,1845,1846,69000,138000,PH,"LINESTRING (124.5345 8.4864, 124.5355 8.4874)","MULTIPOINT ((124.5345 8.4864), (124.5355 8.4874))",POINT (124.5345 8.4864),POINT (124.5355 8.4874),124.5345,8.4864,124.5355,8.4874
6157,transf_1208_0,1848,1849,69000,230000,PH,"LINESTRING (120.6276 16.4373, 120.6286 16.4383)","MULTIPOINT ((120.6276 16.4373), (120.6286 16.4383))",POINT (120.6276 16.4373),POINT (120.6286 16.4383),120.6276,16.4373,120.6286,16.4383
6158,transf_1209_0,1850,1851,69000,138000,PH,"LINESTRING (124.7692 8.7662, 124.7702 8.7672)","MULTIPOINT ((124.7692 8.7662), (124.7702 8.7672))",POINT (124.7692 8.7662),POINT (124.7702 8.7672),124.7692,8.7662,124.7702,8.7672
6159,transf_1211_0,1853,1854,69000,230000,PH,"LINESTRING (123.563 13.2361, 123.564 13.2371)","MULTIPOINT ((123.563 13.2361), (123.564 13.2371))",POINT (123.563 13.2361),POINT (123.564 13.2371),123.563,13.2361,123.564,13.2371
6160,transf_1212_0,1855,1856,60000,138000,PH,"LINESTRING (123.6606 10.4082, 123.6616 10.4092)","MULTIPOINT ((123.6606 10.4082), (123.6616 10.4092))",POINT (123.6606 10.4082),POINT (123.6616 10.4092),123.6606,10.4082,123.6616,10.4092
6161,transf_1212_1,1856,1857,138000,230000,PH,"LINESTRING (123.6616 10.4092, 123.6626 10.4102)","MULTIPOINT ((123.6616 10.4092), (123.6626 10.4102))",POINT (123.6616 10.4092),POINT (123.6626 10.4102),123.6616,10.4092,123.6626,10.4102
6162,transf_1213_0,1858,1859,138000,230000,PH,"LINESTRING (122.6867 7.8102, 122.6877 7.8112)","MULTIPOINT ((122.6867 7.8102), (122.6877 7.8112))",POINT (122.6867 7.8102),POINT (122.6877 7.8112),122.6867,7.8102,122.6877,7.8112
6163,transf_1214_0,1860,1861,69000,138000,PH,"LINESTRING (123.4055 8.4831, 123.4065 8.4841)","MULTIPOINT ((123.4055 8.4831), (123.4065 8.4841))",POINT (123.4055 8.4831),POINT (123.4065 8.4841),123.4055,8.4831,123.4065,8.4841
6164,transf_1216_0,1863,1864,69000,138000,PH,"LINESTRING (123.6761 10.3483, 123.6771 10.3493)","MULTIPOINT ((123.6761 10.3483), (123.6771 10.3493))",POINT (123.6761 10.3483),POINT (123.6771 10.3493),123.6761,10.3483,123.6771,10.3493
6165,transf_1216_1,1864,1865,138000,230000,PH,"LINESTRING (123.6771 10.3493, 123.6781 10.3503)","MULTIPOINT ((123.6771 10.3493), (123.6781 10.3503))",POINT (123.6771 10.3493),POINT (123.6781 10.3503),123.6771,10.3493,123.6781,10.3503
6166,transf_1216_2,1865,1866,230000,350000,PH,"LINESTRING (123.6781 10.3503, 123.6791 10.3513)","MULTIPOINT ((123.6781 10.3503), (123.6791 10.3513))",POINT (123.6781 10.3503),POINT (123.6791 10.3513),123.6781,10.3503,123.6791,10.3513
6167,transf_1217_0,1868,1869,69000,138000,PH,"LINESTRING (125.8537 7.4034, 125.8547 7.4044)","MULTIPOINT ((125.8537 7.4034), (125.8547 7.4044))",POINT (125.8537 7.4034),POINT (125.8547 7.4044),125.8537,7.4034,125.8547,7.4044
6168,transf_1218_0,1870,1871,69000,138000,PH,"LINESTRING (126.0168 7.4979, 126.0178 7.4989)","MULTIPOINT ((126.0168 7.4979), (126.0178 7.4989))",POINT (126.0168 7.4979),POINT (126.0178 7.4989),126.0168,7.4979,126.0178,7.4989
6169,transf_1219_0,1872,1873,69000,230000,PH,"LINESTRING (121.4547 16.8221, 121.4557 16.8231)","MULTIPOINT ((121.4547 16.8221), (121.4557 16.8231))",POINT (121.4547 16.8221),POINT (121.4557 16.8231),121.4547,16.8221,121.4557,16.8231
6170,transf_1220_0,1874,1875,69000,115000,PH,"LINESTRING (120.5142 18.0044, 120.5152 18.0054)","MULTIPOINT ((120.5142 18.0044), (120.5152 18.0054))",POINT (120.5142 18.0044),POINT (120.5152 18.0054),120.5142,18.0044,120.5152,18.0054
6171,transf_1221_0,1876,1877,69000,138000,PH,"LINESTRING (122.2509 10.6657, 122.2519 10.6667)","MULTIPOINT ((122.2509 10.6657), (122.2519 10.6667))",POINT (122.2509 10.6657),POINT (122.2519 10.6667),122.2509,10.6657,122.2519,10.6667
6172,transf_1222_0,1878,1879,230000,500000,PH,"LINESTRING (120.7551 14.0187, 120.7561 14.0197)","MULTIPOINT ((120.7551 14.0187), (120.7561 14.0197))",POINT (120.7551 14.0187),POINT (120.7561 14.0197),120.7551,14.0187,120.7561,14.0197
6173,transf_1223_0,1880,1881,69000,138000,PH,"LINESTRING (124.2748 8.338, 124.2758 8.339)","MULTIPOINT ((124.2748 8.338), (124.2758 8.339))",POINT (124.2748 8.338),POINT (124.2758 8.339),124.2748,8.338,124.2758,8.339
