time,ZM0 0,ZM0 1,ZM0 2,ZM0 3,ZM0 4,ZM0 5,ZM0 6,ZM0 7,ZM0 8,ZM0 9
41278.16667,2.421648314,41.63338155,14.27525855,30.93138746,10.7174088,3.043039001,0.125119255,2.206906567,1.434959364,16.80448578
41278.20833,2.61732886,44.99755413,15.42876643,33.43078871,11.58342572,3.288930831,0.135229478,2.385234973,1.550910814,18.16236708
41278.25,2.879349524,49.50225707,16.97333947,36.77754333,12.7430419,3.618185535,0.148767295,2.62402073,1.70617242,19.98060076
41278.29167,2.960976916,50.9056088,17.45452087,37.82015899,13.10429755,3.720758372,0.152984735,2.698409742,1.754541123,20.54703575
41278.33333,2.954960755,50.80217796,17.41905649,37.74331538,13.07767202,3.713198475,0.152673899,2.692927069,1.750976218,20.50528795
41278.375,2.953544591,50.77783104,17.41070842,37.72522692,13.07140455,3.711418926,0.15260073,2.691636485,1.750137064,20.4954608
41278.41667,2.959025808,50.87206503,17.44301938,37.79523776,13.09566259,3.718306613,0.152883928,2.69663165,1.753384985,20.53349647
41278.45833,2.96755091,51.01863,17.49327359,37.90412773,13.13339185,3.729019241,0.153324394,2.704400781,1.758436575,20.59265451
41278.5,2.96557724,50.98469834,17.4816391,37.87891832,13.12465705,3.726539131,0.15322242,2.702602129,1.757267068,20.57895867
41278.54167,2.96755091,51.01863,17.49327359,37.90412773,13.13339185,3.729019241,0.153324394,2.704400781,1.758436575,20.59265451
41278.58333,2.973698518,51.1243207,17.52951283,37.9826503,13.16059912,3.736744314,0.153642022,2.710003245,1.76207937,20.63531446
41278.625,2.942934646,50.59542308,17.34816436,37.58970751,13.02444847,3.698086487,0.152052546,2.681967386,1.743850089,20.42183546
41278.66667,3.095447709,53.2174531,18.24720631,39.53773631,13.69942049,3.889734134,0.159932435,2.820956222,1.834222439,21.48016568
41278.70833,3.101062989,53.31399192,18.28030755,39.60945952,13.72427184,3.896790284,0.16022256,2.826073562,1.8375498,21.51913166
41278.75,3.099815876,53.29255134,18.272956,39.59353031,13.71875253,3.895223164,0.160158125,2.824937038,1.836810817,21.5104776
41278.79167,2.979585193,51.22552541,17.56421392,38.05784002,13.18665158,3.744141501,0.153946169,2.715367915,1.765567548,20.67616372
41278.83333,2.750820993,47.29257314,16.2156828,35.13586573,12.17421743,3.45667681,0.142126614,2.506889577,1.63001222,19.08870582
41278.875,2.485909636,42.73817292,14.65406954,31.75218867,11.00180801,3.123789666,0.128439444,2.265469462,1.47303772,17.25041283
41278.91667,2.29690592,39.48878952,13.53992059,29.33806968,10.16534051,2.886287929,0.118674192,2.093225812,1.361042658,15.93886389
41278.95833,2.120310882,36.45273819,12.49891897,27.08244508,9.383789702,2.664378916,0.10955006,1.932290492,1.256400419,14.7134222
41279,2.040858255,35.08677538,12.03055749,26.06760738,9.032158839,2.564538885,0.105444983,1.859883395,1.209320382,14.1620785
41279.04167,2.061316766,35.43850151,12.15115739,26.32892118,9.122701395,2.590247014,0.106502012,1.87852773,1.221443171,14.30404576
41279.08333,2.124497083,36.52470805,12.52359601,27.13591485,9.402316431,2.669639288,0.109766349,1.936105477,1.258880972,14.7424714
