Report generated on: 01-13-2026 23:55:39
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.33-12-DMA-BKWH.A","        Dominica","0.009","0.01","0.009","0.015","0.016","0.014","0.013","0.014","0.016","0.016","0.016","0.016","0.016","0.016","0.017","0.019","0.019","0.02","0.027","0.032","0.032","0.027","0.03","0.029","0.034","0.027","0.027","0.021","0.02","0.023","0.023","0.035","0.026","0.036","0.03","0.024","0.036","0.027","0.024","0.02","0.019","0.02","0.023","0.023"
"INTL.33-12-DOM-BKWH.A","        Dominican Republic","0.572","0.809","0.749","0.772","0.509","1.025","0.891","0.94","0.842","0.592","0.391","0.552","0.528","1.118","0.528","0.598","0.854","0.658","0.726","1.088","0.754","0.696","0.871","1.193","1.6","1.908","1.75","1.701","1.384","1.464","1.435","1.531","1.784","1.883","1.323","0.934","1.504","2.174","1.762","1.298","1.293","1.501","1.465","1.465"
"INTL.33-12-ECU-BKWH.A","        Ecuador","0.878","0.783","0.89","1.712","3.163","3.761","4.27","4.486","4.741","4.867","4.937","5.025","4.924","5.752","6.499","5.109","6.281","6.469","6.441","7.105","7.533","7","7.45","7.1086","7.3376","6.814","7.059","8.947","11.181","9.13","8.55","11.022","12.116","10.929","11.343","12.965","15.675","19.8871","20.4712","24.6644","24.3333","25.5746","24.635","25.7335"
"INTL.33-12-EGY-BKWH.A","        Egypt","9.699","10.109","10.365","10.094","9.9","8.019","7.92","8.168","7.821","7.92","9.875","8.545","8.455","10.381","10.63","11.299","11.439","11.867","12.1","15.134","13.56","14.979","12.73","12.889","12.518","12.518","12.796","15.355","14.535","12.734","12.916","12.805","12.99","13.218","13.684","13.545","12.85","12.726","12.726","13.121","15.038","14.646","15.458","14.646"
"INTL.33-12-SLV-BKWH.A","        El Salvador","1.067","0.755","0.792","0.812","1.038","1.191","1.249","1.148","1.31","1.437","1.426","0.837","0.973","1.156","1.189","1.456","1.864","1.415","1.55","1.749","1.163","1.152","1.128","1.451","1.374","1.664","1.957","1.734","2.033","1.505","2.079","2.006","1.842","1.79","1.789","1.423","1.343","1.705","1.631","1.526","2.072","1.821","2.261","2.012904994"
"INTL.33-12-GNQ-BKWH.A","        Equatorial Guinea","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.052","0.052","0.028","0.028","0.08","0.251","0.379","0.467","0.471","0.438","0.443","0.448","0.4891","0.47","0.484785113",".494192048"
"INTL.33-12-ERI-BKWH.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-EST-BKWH.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0.001","0.001","0.003","0.002","0.002","0.003","0.004","0.004","0.005","0.007","0.006","0.013","0.022","0.022","0.014","0.021","0.028","0.032","0.027","0.03","0.042","0.026","0.027","0.027","0.035","0.026","0.015","0.019","0.03","0.023","0.023","0.0227393"
"INTL.33-12-SWZ-BKWH.A","        Eswatini","0.126","0.129","0.094","0.065","0.129","0.185","0.151","0.183","0.194","0.217","0.152","0.202","0.202","0.202","0.202","0.208","0.208","0.21","0.208","0.203","0.195","0.19","0.201","0.122","0.102","0.157","0.154","0.171","0.157","0.202","0.242","0.28","0.242","0.305","0.233","0.124","0.12","0.209","0.2673","0.2283","0.231","0.259","0.297",".297711085"
"INTL.33-12-ETH-BKWH.A","        Ethiopia","0.473","0.502","0.574","0.623","0.683","0.747","0.821","0.886","0.956","0.994","1.088","1.097","1.127","1.251","1.34","1.414","1.495","1.55","1.563","1.589","1.63","1.972","2.003","2.257","2.496","2.805","3.226","3.351","3.263","3.489","4.882","6.199","7.314","8.255","8.923","9.577","11.635","12.5542","13.655","14.404","14.943","14.914","16.771","17.6175625"
