,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4050,Shiga Prefecture Koka Solar Xix,Solar,PV,PP,JP,10,,,,,,2015,2015,2041,34.8588875,136.0257375,"{nan, nan, nan, nan, nan, nan, nan, nan}","{'GEM': {'G100001042857', 'G100001042925', 'G100001042864', 'G100001042856', 'G100001042862', 'G100001042883', 'G100001042882', 'G100001042863'}}",975
4051,Shiga Prefecture Koka Solar Xl,Solar,PV,PP,JP,4.4,,,,,,2021,2021,2041,34.9675,136.1972,"{nan, nan, nan}","{'GEM': {'G100001042910', 'G100001042920', 'G100001042923'}}",289
4052,Shiga Prefecture Koka Solar Xvi,Solar,PV,PP,JP,3.3,,,,,,2015,2015,2042,34.8923,136.23485,"{nan, nan}","{'GEM': {'G100001042849', 'G100001042905'}}",1248
4053,Shiga Prefecture Koka Solar Xxix,Solar,PV,PP,JP,2,,,,,,2017,2017,2037,34.957,136.3481,{nan},{'GEM': {'G100001042881'}},1090
4054,Shiga Prefecture Koka Solar Xxvii,Solar,PV,PP,JP,2,,,,,,2018,2018,2038,35.0152,136.1446,{nan},{'GEM': {'G100001042878'}},289
4055,Shiga Prefecture Koka Solar Xxviii,Solar,PV,PP,JP,3.8,,,,,,2017,2017,2037,34.95825,136.24865,"{nan, nan}","{'GEM': {'G100001042880', 'G100001042902'}}",1090
4056,Shiga Prefecture Koka Solar Xxxiii,Solar,PV,PP,JP,1.3,,,,,,2020,2020,2040,35.0152,136.1446,{nan},{'GEM': {'G100001042895'}},289
4057,Shiga Prefecture Konan City Solar,Solar,PV,PP,JP,3.1,,,,,,2013,2013,2034,35.0221,136.03465,"{nan, nan}","{'GEM': {'G100001042844', 'G100001042805'}}",1084
4058,Shiga Prefecture Konan City Solar,Solar,PV,PP,JP,2,,,,,,2016,2016,2036,35.026,136.1315,{nan},{'GEM': {'G100001042885'}},289
4059,Shiga Prefecture Konan City Solar,Solar,PV,PP,JP,1.2,,,,,,2021,2021,2041,34.9915,136.0921,{nan},{'GEM': {'G100001042912'}},289
4060,Shiga Prefecture Kora Town Solar,Solar,PV,PP,JP,1.4,,,,,,2019,2019,2039,35.1941,136.2642,{nan},{'GEM': {'G100001042914'}},175
4061,Shiga Prefecture Maibara Solar,Solar,PV,PP,JP,2,,,,,,2014,2014,2034,35.3552,136.4069,{nan},{'GEM': {'G100001042839'}},1195
4062,Shiga Prefecture Maibara Solar,Solar,PV,PP,JP,2,,,,,,2014,2014,2039,35.3715,136.3613,"{nan, nan}","{'GEM': {'G100001042850', 'G100001042918'}}",1195
