country,y,x,location,technology,capacity,unit,quality,ID,tech
CN,39.19256,118.899533,Tangshan,Integrated steelworks,2400.0,kt/yr,exact,SCN00059,Integrated steelworks
CN,39.730795,118.467608,Tangshan,Integrated steelworks,3000.0,kt/yr,exact,SCN00063,Integrated steelworks
CN,39.268452,119.024819,Tangshan,Integrated steelworks,4200.0,kt/yr,exact,SCN00064,Integrated steelworks
CN,39.600956,118.358726,Tangshan,Integrated steelworks,4100.0,kt/yr,exact,SCN00065,Integrated steelworks
CN,39.898362,118.579364,Tangshan,Integrated steelworks,7500.0,kt/yr,exact,SCN00080,Integrated steelworks
CN,39.880661,118.558755,Tangshan,Integrated steelworks,2530.0,kt/yr,exact,SCN00083,Integrated steelworks
CN,39.748373,118.624794,Tangshan,Integrated steelworks,5500.0,kt/yr,exact,SCN00084,Integrated steelworks
CN,39.676326,118.427914,Tangshan,Integrated steelworks,2400.0,kt/yr,exact,SCN00085,Integrated steelworks
CN,39.222566,118.094201,Tangshan,Integrated steelworks,7700.0,kt/yr,exact,SCN00278,Integrated steelworks
CN,39.222566,118.094201,Tangshan,Integrated steelworks,3860.0,kt/yr,exact,SCN00278-1,Integrated steelworks
CN,39.257823,119.033567,Tangshan,Integrated steelworks,7470.0,kt/yr,exact,SCN00283,Integrated steelworks
CN,39.260784,119.005925,Tangshan,Integrated steelworks,1700.0,kt/yr,exact,SCN00291,Integrated steelworks
CN,39.270032,119.01376,Tangshan,Integrated steelworks,3040.0,kt/yr,exact,SCN00292,Integrated steelworks
CN,39.160401,118.429806,Tangshan,Integrated steelworks,2300.0,kt/yr,exact,SCN00296,Integrated steelworks
CN,39.160401,118.429806,Tangshan,Integrated steelworks,1330.0,kt/yr,exact,SCN00296-1,Integrated steelworks
CN,39.967373,117.857659,Tangshan,Electric arc,700.0,kt/yr,exact,SCN00309,Electric arc
CN,39.85271,118.181279,Tangshan,Electric arc,2440.0,kt/yr,exact,SCN00310,Electric arc
CN,37.041601,114.452352,Xingtai,Integrated steelworks,3500.0,kt/yr,exact,SCN00053,Integrated steelworks
CN,37.086116,114.384832,Xingtai,Integrated steelworks,3000.0,kt/yr,exact,SCN00058,Integrated steelworks
CN,45.562002,126.968128,Harbin,Integrated steelworks,1100.0,kt/yr,exact,SCN00391,Integrated steelworks
CN,47.191285,123.616512,Qiqihar,Integrated steelworks,2200.0,kt/yr,exact,SCN00097,Integrated steelworks
CN,46.602297,131.071877,Shuangyashan,Integrated steelworks,2000.0,kt/yr,exact,SCN00095,Integrated steelworks
CN,47.495036,129.287919,Yichun,Integrated steelworks,4200.0,kt/yr,exact,SCN00096,Integrated steelworks
CN,36.122129,114.283145,Anyang,Integrated steelworks,9380.0,kt/yr,exact,SCN00098,Integrated steelworks
CN,33.287536,113.474328,Anyang,Electric arc,5000.0,kt/yr,exact,SCN00099,Electric arc
CN,36.143573,114.149964,Anyang,Integrated steelworks,2600.0,kt/yr,exact,SCN00100,Integrated steelworks
CN,36.163203,114.296223,Anyang,Integrated steelworks,2000.0,kt/yr,exact,SCN00104,Integrated steelworks
CN,35.879956,114.334825,Anyang,Integrated steelworks,1800.0,kt/yr,exact,SCN00106,Integrated steelworks
CN,36.152418,114.15839,Anyang,Integrated steelworks,960.0,kt/yr,exact,SCN00109,Integrated steelworks
CN,34.263509,113.853979,Changge,Electric arc,800.0,kt/yr,exact,SCN00108,Electric arc
CN,34.702951,112.955911,Gongyi,Integrated steelworks,1900.0,kt/yr,exact,SCN00107,Integrated steelworks
CN,35.086396,112.553774,Jiyuan,Integrated steelworks,5000.0,kt/yr,exact,SCN00102,Integrated steelworks
CN,36.131666,113.872158,Linzhou,Integrated steelworks,2000.0,kt/yr,exact,SCN00105,Integrated steelworks
CN,36.133342,113.873442,Linzhou,Integrated steelworks,600.0,kt/yr,exact,SCN00271,Integrated steelworks
CN,34.798477,112.580505,Luoyang,Electric arc,850.0,kt/yr,exact,SCN00352,Electric arc
CN,33.269324,111.534635,Nanyang,Integrated steelworks,2588.0,kt/yr,exact,SCN00103,Integrated steelworks
CN,33.29175,113.458011,Wugang,Integrated steelworks,1220.0,kt/yr,exact,SCN00325,Integrated steelworks
CN,32.488704,114.038243,Xinyang,Integrated steelworks,3600.0,kt/yr,exact,SCN00101,Integrated steelworks
CN,32.488704,114.038243,Xinyang,Integrated steelworks,1150.0,kt/yr,exact,SCN00101-1,Integrated steelworks
CN,34.013369,116.422599,Yongcheng,Integrated steelworks,3000.0,kt/yr,exact,SCN00307,Integrated steelworks
CN,34.64443,112.937985,Zhengzhou,Electric arc,850.0,kt/yr,exact,SCN00110,Electric arc
CN,33.364534,115.099661,Zhoukou,Integrated steelworks,1750.0,kt/yr,exact,SCN00299,Integrated steelworks
CN,30.39574,114.861313,Ezhou,Integrated steelworks,4400.0,kt/yr,exact,SCN00112,Integrated steelworks
CN,30.532352,114.747597,Ezhou,Electric arc,1200.0,kt/yr,exact,SCN00121,Electric arc
CN,30.341239,114.857744,Ezhou,Electric arc,1100.0,kt/yr,exact,SCN00384,Electric arc
CN,30.204603,115.125838,Huangshi,Integrated steelworks,3500.0,kt/yr,exact,SCN00113,Integrated steelworks
CN,30.067469,114.934091,Huangshi,Integrated steelworks,500.0,kt/yr,exact,SCN00120,Integrated steelworks
CN,30.070219,114.926251,Huangshi,Integrated steelworks,1215.0,kt/yr,exact,SCN00344,Integrated steelworks
CN,30.3505,112.353782,Jingzhou,Electric arc,1000.0,kt/yr,exact,SCN00116,Electric arc
CN,32.650367,110.654794,Shiyan,Electric arc,600.0,kt/yr,exact,SCN00122,Electric arc
CN,32.738598,110.793269,Shiyan,Electric arc,800.0,kt/yr,exact,SCN00123,Electric arc
CN,31.50221,114.008142,Suizhou,Integrated steelworks,737.0,kt/yr,exact,SCN00119,Integrated steelworks
CN,30.616222,114.444975,Wuhan,Integrated steelworks,15910.0,kt/yr,exact,SCN00111,Integrated steelworks
CN,30.394434,114.257701,Wuhan,Electric arc,1200.0,kt/yr,exact,SCN00114,Electric arc
CN,32.10704,112.235621,Xiangyang,Electric arc,500.0,kt/yr,exact,SCN00115,Electric arc
CN,32.127263,112.715688,Xiangyang,Electric arc,1660.0,kt/yr,exact,SCN00117,Electric arc
CN,29.916729,113.822921,Xianning,Integrated steelworks,3250.0,kt/yr,exact,SCN00286,Integrated steelworks
CN,31.006752,113.754995,Xiaogan,Electric arc,1000.0,kt/yr,exact,SCN00118,Electric arc
CN,30.586332,111.398846,Yichang,Electric arc,600.0,kt/yr,exact,SCN00124,Electric arc
CN,26.865484,112.576853,Hengyang,Integrated steelworks,1300.0,kt/yr,exact,SCN00127,Integrated steelworks
CN,27.690401,111.437288,Lengshuijiang,Integrated steelworks,3000.0,kt/yr,exact,SCN00128,Integrated steelworks
CN,27.747782,111.967343,Loudi,Integrated steelworks,9000.0,kt/yr,exact,SCN00126,Integrated steelworks
CN,27.81413,112.897377,Xiangtan,Integrated steelworks,7250.0,kt/yr,exact,SCN00125,Integrated steelworks
CN,40.647997,109.740898,Baotou,Integrated steelworks,17500.0,kt/yr,exact,SCN00129,Integrated steelworks
CN,40.662343,109.696243,Baotou,Integrated steelworks,900.0,kt/yr,exact,SCN00131,Integrated steelworks
CN,41.362925,110.988771,Baotou,Integrated steelworks,600.0,kt/yr,exact,SCN00132,Integrated steelworks
CN,40.662343,109.698333,Baotou,Integrated steelworks,1100.0,kt/yr,exact,SCN00134,Integrated steelworks
CN,40.689778,110.214707,Baotou,Integrated steelworks,2000.0,kt/yr,exact,SCN00135,Integrated steelworks
CN,42.278115,119.015289,Chifeng,Integrated steelworks,2450.0,kt/yr,exact,SCN00130,Integrated steelworks
CN,41.834064,119.281883,Chifeng,Integrated steelworks,2740.0,kt/yr,exact,SCN00295,Integrated steelworks
CN,39.867015,106.890377,Ordos,Integrated steelworks,1095.0,kt/yr,exact,SCN00133,Integrated steelworks
CN,39.855971,106.886647,Wuhai,Integrated steelworks,2000.0,kt/yr,exact,SCN00308,Integrated steelworks
CN,46.055685,122.063282,Xing'an,Integrated steelworks,1050.0,kt/yr,exact,SCN00322,Integrated steelworks
CN,46.055685,122.063283,Xing'an,Integrated steelworks,1350.0,kt/yr,exact,SCN00322-1,Integrated steelworks
CN,31.707656,120.079591,Changzhou,Integrated steelworks,11000.0,kt/yr,exact,SCN00142,Integrated steelworks
CN,31.471123,119.485941,Changzhou,Integrated steelworks,2700.0,kt/yr,exact,SCN00144,Integrated steelworks
CN,31.602554,119.724256,Changzhou,Integrated steelworks,3600.0,kt/yr,exact,SCN00150,Integrated steelworks
CN,32.027791,119.57706,Danyang,Integrated steelworks,1500.0,kt/yr,exact,SCN00151,Integrated steelworks
CN,32.104319,119.792126,Danyang,Electric arc,2000.0,kt/yr,exact,SCN00314,Electric arc
CN,33.566039,118.988442,Huai'an,Integrated steelworks,3387.0,kt/yr,exact,SCN00137,Integrated steelworks
CN,31.950191,120.328449,Jiangyin,Integrated steelworks,6900.0,kt/yr,exact,SCN00140,Integrated steelworks
CN,31.950191,120.328449,Jiangyin,Integrated steelworks,1180.0,kt/yr,exact,SCN00140-2,Integrated steelworks
CN,31.952064,120.189749,Jiangyin,Integrated steelworks,2000.0,kt/yr,exact,SCN00148,Integrated steelworks
CN,31.892299,120.198394,Jiangyin,Electric arc,1150.0,kt/yr,exact,SCN00315,Electric arc
CN,31.985496,120.644565,Jinfeng,Integrated steelworks,2300.0,kt/yr,exact,SCN00401,Integrated steelworks
CN,35.09556,119.279989,Lianyungang,Integrated steelworks,4500.0,kt/yr,exact,SCN00145,Integrated steelworks
CN,34.38381,119.786878,Lianyungang,Integrated steelworks,3000.0,kt/yr,exact,SCN00146,Integrated steelworks
CN,34.607964,119.447626,Lianyungang,Integrated steelworks,620.0,kt/yr,exact,SCN00158,Integrated steelworks
CN,34.423786,119.778311,Lianyungang,Integrated steelworks,3000.0,kt/yr,exact,SCN00316,Integrated steelworks
CN,32.200797,118.746315,Nanjing,Integrated steelworks,10000.0,kt/yr,exact,SCN00139,Integrated steelworks
CN,31.902969,118.61667,Nanjing,Integrated steelworks,7600.0,kt/yr,exact,SCN00161,Integrated steelworks
CN,32.133954,121.513173,Nantong,Integrated steelworks,1950.0,kt/yr,exact,SCN00300,Integrated steelworks
CN,31.855205,120.730505,Suzhou,Integrated steelworks,9000.0,kt/yr,exact,SCN00141,Integrated steelworks
CN,31.723833,120.835685,Suzhou,Integrated steelworks,3180.0,kt/yr,exact,SCN00143,Integrated steelworks
CN,31.400644,120.475103,Suzhou,Integrated steelworks,1000.0,kt/yr,exact,SCN00156,Integrated steelworks
CN,31.681005,120.251785,Wuxi,Integrated steelworks,2000.0,kt/yr,exact,SCN00153,Integrated steelworks
CN,31.816482,120.424347,Wuxi,Integrated steelworks,1500.0,kt/yr,exact,SCN00154,Integrated steelworks
CN,34.577016,117.339638,Xuzhou,Integrated steelworks,3050.0,kt/yr,exact,SCN00147,Integrated steelworks
CN,34.368618,118.31556,Xuzhou,Integrated steelworks,5700.0,kt/yr,exact,SCN00160,Integrated steelworks
CN,34.500122,116.908897,Xuzhou,Electric arc,1000.0,kt/yr,exact,SCN00350,Electric arc
