,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
1988,1988,1320,150000,False,substation,False,transmission,0.0,107.7872,-7.1438,ID,POINT (107.7872 -7.1438),True
1989,1989,1321,150000,False,substation,False,transmission,0.0,98.54,2.7867,ID,POINT (98.54 2.7867),True
1990,1990,1322,70000,False,substation,False,transmission,0.0,119.5032,-4.8175,ID,POINT (119.5032 -4.8175),True
1991,1991,1323,150000,False,substation,False,transmission,0.0,119.6921,-3.9616,ID,POINT (119.6921 -3.9616),True
1992,1992,1324,150000,False,substation,False,transmission,0.0,119.6352,-4.2951,ID,POINT (119.6352 -4.2951),True
1993,1993,1325,150000,False,substation,False,transmission,0.0,119.5341,-3.521,ID,POINT (119.5341 -3.521),True
1994,1994,1326,150000,False,substation,False,transmission,0.0,120.1414,-5.3589,ID,POINT (120.1414 -5.3589),True
1995,1995,1327,150000,False,substation,False,transmission,0.0,109.7019,-6.9329,ID,POINT (109.7019 -6.9329),True
1996,1996,1328,150000,False,substation,False,transmission,0.0,107.6913,-7.1044,ID,POINT (107.6913 -7.1044),True
1997,1997,1329,70000,False,substation,False,transmission,0.0,107.6264,-7.1964,ID,POINT (107.6264 -7.1964),True
1998,1998,1329,150000,False,substation,False,transmission,0.0,107.6274,-7.1954,ID,POINT (107.6274 -7.1954),False
1999,1999,1330,150000,False,substation,False,transmission,0.0,106.8912,-6.4849,ID,POINT (106.8912 -6.4849),True
2000,2000,1331,150000,False,substation,False,transmission,0.0,110.7102,-7.5418,ID,POINT (110.7102 -7.5418),True
2001,2001,1332,150000,False,substation,False,transmission,0.0,107.6674,-6.331,ID,POINT (107.6674 -6.331),True
2002,2002,1333,70000,False,substation,False,transmission,0.0,107.3984,-6.4873,ID,POINT (107.3984 -6.4873),True
2003,2003,1333,150000,False,substation,False,transmission,0.0,107.3994,-6.4863,ID,POINT (107.3994 -6.4863),False
2004,2004,1334,70000,False,substation,False,transmission,0.0,111.7805,-8.1221,ID,POINT (111.7805 -8.1221),True
2005,2005,1335,150000,False,substation,False,transmission,0.0,109.0278,-7.6891,ID,POINT (109.0278 -7.6891),True
2006,2006,1336,70000,False,substation,False,transmission,0.0,108.3458,-6.3457,ID,POINT (108.3458 -6.3457),True
2007,2007,1337,150000,False,substation,False,transmission,0.0,98.4946,2.7972,ID,POINT (98.4946 2.7972),True
2008,2008,1338,150000,False,substation,False,transmission,0.0,113.5795,-7.7175,ID,POINT (113.5795 -7.7175),True
2009,2009,1338,500000,False,substation,False,transmission,0.0,113.5805,-7.7165,ID,POINT (113.5805 -7.7165),False
2010,2010,1339,150000,False,substation,False,transmission,0.0,112.5982,-7.2413,ID,POINT (112.5982 -7.2413),True
2011,2011,1340,150000,False,substation,False,transmission,0.0,112.7776,-7.1448,ID,POINT (112.7776 -7.1448),True
2012,2012,1341,150000,False,substation,False,transmission,0.0,111.997,-7.9103,ID,POINT (111.997 -7.9103),True
2013,2013,1342,70000,False,substation,False,transmission,0.0,112.0643,-8.0723,ID,POINT (112.0643 -8.0723),True
2014,2014,1342,150000,False,substation,False,transmission,0.0,112.0653,-8.0713,ID,POINT (112.0653 -8.0713),False
2015,2015,1343,150000,False,substation,False,transmission,0.0,113.2544,-7.8671,ID,POINT (113.2544 -7.8671),True
2016,2016,1344,70000,False,substation,False,transmission,0.0,112.3169,-7.8418,ID,POINT (112.3169 -7.8418),True
2017,2017,1345,150000,False,substation,False,transmission,0.0,112.0859,-7.0326,ID,POINT (112.0859 -7.0326),True
2018,2018,1346,150000,False,substation,False,transmission,0.0,116.6298,-8.5434,ID,POINT (116.6298 -8.5434),True
