,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.location,tags.generator:solar:tracking,other_tags,geometry,Country
18755,11096518350,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44686929999996 14.945435),TH
18756,11096518351,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44788909999995 14.942040199999962),TH
18757,11096518352,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44841619999995 14.939260499999962),TH
18758,11096518353,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.44931859999996 14.936718199999962),TH
18759,11096518354,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45034169999995 14.933019),TH
18760,11096518355,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45073479999995 14.930252099999963),TH
18761,11096518356,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45178909999996 14.927623299999963),TH
18762,11096518359,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45256839999996 14.922252199999965),TH
18763,11096518360,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45801449999996 14.904836199999965),TH
18764,11096518361,node,TH,wind_turbine,2.0,wind,horizontal_axis,generator,NULL,NULL,"{ ""tags.manufacturer"": ""Siemens Gamesa"", ""tags.manufacturer:type"": ""SG 2.6-126"", ""tags.rotor:diameter"": ""126"", ""tags.height:hub"": ""137"" }",POINT (101.45681919999996 14.907494399999965),TH
