"Installed electricity capacity by country/area (MW) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Installed electricity capacity by country/area (MW)
"Argentina","Coal and peat","On-grid","2020",..
"Argentina","Coal and peat","Off-grid","2020",..
"Argentina","Oil","On-grid","2020",1692.534
"Argentina","Oil","Off-grid","2020",..
"Argentina","Natural gas","On-grid","2020",23669.465
"Argentina","Natural gas","Off-grid","2020",..
"Argentina","Fossil fuels n.e.s.","On-grid","2020",..
"Argentina","Fossil fuels n.e.s.","Off-grid","2020",319.940
"Argentina","Nuclear","On-grid","2020",1755.000
"Argentina","Nuclear","Off-grid","2020",..
"Argentina","Other non-renewable energy","On-grid","2020",..
"Argentina","Other non-renewable energy","Off-grid","2020",..
"Armenia","Solar photovoltaic","On-grid","2020",95.000
"Armenia","Solar photovoltaic","Off-grid","2020",..
"Armenia","Solar thermal energy","On-grid","2020",..
"Armenia","Solar thermal energy","Off-grid","2020",..
"Armenia","Onshore wind energy","On-grid","2020",2.925
"Armenia","Onshore wind energy","Off-grid","2020",..
"Armenia","Offshore wind energy","On-grid","2020",..
"Armenia","Offshore wind energy","Off-grid","2020",..
"Armenia","Renewable hydropower","On-grid","2020",1336.400
"Armenia","Renewable hydropower","Off-grid","2020",..
"Armenia","Mixed Hydro Plants","On-grid","2020",..
"Armenia","Mixed Hydro Plants","Off-grid","2020",..
"Armenia","Pumped storage","On-grid","2020",..
"Armenia","Pumped storage","Off-grid","2020",..
"Armenia","Marine energy","On-grid","2020",..
"Armenia","Marine energy","Off-grid","2020",..
"Armenia","Solid biofuels","On-grid","2020",..
"Armenia","Solid biofuels","Off-grid","2020",..
"Armenia","Renewable municipal waste","On-grid","2020",..
"Armenia","Renewable municipal waste","Off-grid","2020",..
"Armenia","Liquid biofuels","On-grid","2020",..
"Armenia","Liquid biofuels","Off-grid","2020",..
"Armenia","Biogas","On-grid","2020",..
"Armenia","Biogas","Off-grid","2020",..
"Armenia","Geothermal energy","On-grid","2020",..
"Armenia","Geothermal energy","Off-grid","2020",..
"Armenia","Coal and peat","On-grid","2020",..
"Armenia","Coal and peat","Off-grid","2020",..
"Armenia","Oil","On-grid","2020",..
"Armenia","Oil","Off-grid","2020",..
"Armenia","Natural gas","On-grid","2020",1826.600
"Armenia","Natural gas","Off-grid","2020",..
"Armenia","Fossil fuels n.e.s.","On-grid","2020",..
"Armenia","Fossil fuels n.e.s.","Off-grid","2020",..
"Armenia","Nuclear","On-grid","2020",407.500
"Armenia","Nuclear","Off-grid","2020",..
"Armenia","Other non-renewable energy","On-grid","2020",..
"Armenia","Other non-renewable energy","Off-grid","2020",..
"Aruba","Solar photovoltaic","On-grid","2020",6.100
"Aruba","Solar photovoltaic","Off-grid","2020",..
"Aruba","Solar thermal energy","On-grid","2020",..
"Aruba","Solar thermal energy","Off-grid","2020",..
"Aruba","Onshore wind energy","On-grid","2020",30.000
"Aruba","Onshore wind energy","Off-grid","2020",..
"Aruba","Offshore wind energy","On-grid","2020",..
"Aruba","Offshore wind energy","Off-grid","2020",..
"Aruba","Renewable hydropower","On-grid","2020",..
"Aruba","Renewable hydropower","Off-grid","2020",..
"Aruba","Mixed Hydro Plants","On-grid","2020",..
"Aruba","Mixed Hydro Plants","Off-grid","2020",..
"Aruba","Pumped storage","On-grid","2020",..
"Aruba","Pumped storage","Off-grid","2020",..
"Aruba","Marine energy","On-grid","2020",..
"Aruba","Marine energy","Off-grid","2020",..
"Aruba","Solid biofuels","On-grid","2020",..
"Aruba","Solid biofuels","Off-grid","2020",..
"Aruba","Renewable municipal waste","On-grid","2020",2.000
"Aruba","Renewable municipal waste","Off-grid","2020",..
"Aruba","Liquid biofuels","On-grid","2020",..
"Aruba","Liquid biofuels","Off-grid","2020",..
"Aruba","Biogas","On-grid","2020",..
"Aruba","Biogas","Off-grid","2020",..
"Aruba","Geothermal energy","On-grid","2020",..
"Aruba","Geothermal energy","Off-grid","2020",..
"Aruba","Coal and peat","On-grid","2020",..
"Aruba","Coal and peat","Off-grid","2020",..
"Aruba","Oil","On-grid","2020",235.880
"Aruba","Oil","Off-grid","2020",..
"Aruba","Natural gas","On-grid","2020",22.000
"Aruba","Natural gas","Off-grid","2020",..
"Aruba","Fossil fuels n.e.s.","On-grid","2020",..
"Aruba","Fossil fuels n.e.s.","Off-grid","2020",..
"Aruba","Nuclear","On-grid","2020",..
"Aruba","Nuclear","Off-grid","2020",..
"Aruba","Other non-renewable energy","On-grid","2020",..
"Aruba","Other non-renewable energy","Off-grid","2020",..
"Australia","Solar photovoltaic","On-grid","2020",17342.000
"Australia","Solar photovoltaic","Off-grid","2020",..
"Australia","Solar thermal energy","On-grid","2020",2.000
"Australia","Solar thermal energy","Off-grid","2020",..
"Australia","Onshore wind energy","On-grid","2020",8603.000
"Australia","Onshore wind energy","Off-grid","2020",..
"Australia","Offshore wind energy","On-grid","2020",..
"Australia","Offshore wind energy","Off-grid","2020",..
"Australia","Renewable hydropower","On-grid","2020",5913.000
"Australia","Renewable hydropower","Off-grid","2020",..
"Australia","Mixed Hydro Plants","On-grid","2020",1800.000
"Australia","Mixed Hydro Plants","Off-grid","2020",..
"Australia","Pumped storage","On-grid","2020",810.000
"Australia","Pumped storage","Off-grid","2020",..
"Australia","Marine energy","On-grid","2020",1.000
"Australia","Marine energy","Off-grid","2020",..
"Australia","Solid biofuels","On-grid","2020",678.000
"Australia","Solid biofuels","Off-grid","2020",..
"Australia","Renewable municipal waste","On-grid","2020",..
"Australia","Renewable municipal waste","Off-grid","2020",..
"Australia","Liquid biofuels","On-grid","2020",..
"Australia","Liquid biofuels","Off-grid","2020",..
"Australia","Biogas","On-grid","2020",197.000
"Australia","Biogas","Off-grid","2020",..
"Australia","Geothermal energy","On-grid","2020",0.310
"Australia","Geothermal energy","Off-grid","2020",..
"Australia","Coal and peat","On-grid","2020",25861.000
"Australia","Coal and peat","Off-grid","2020",..
"Australia","Oil","On-grid","2020",1841.000
"Australia","Oil","Off-grid","2020",..
"Australia","Natural gas","On-grid","2020",18199.000
"Australia","Natural gas","Off-grid","2020",..
"Australia","Fossil fuels n.e.s.","On-grid","2020",623.000
"Australia","Fossil fuels n.e.s.","Off-grid","2020",..
"Australia","Nuclear","On-grid","2020",..
"Australia","Nuclear","Off-grid","2020",..
"Australia","Other non-renewable energy","On-grid","2020",..
"Australia","Other non-renewable energy","Off-grid","2020",..
"Austria","Solar photovoltaic","On-grid","2020",2034.737
"Austria","Solar photovoltaic","Off-grid","2020",8.197
"Austria","Solar thermal energy","On-grid","2020",..
"Austria","Solar thermal energy","Off-grid","2020",..
"Austria","Onshore wind energy","On-grid","2020",3225.985
"Austria","Onshore wind energy","Off-grid","2020",..
"Austria","Offshore wind energy","On-grid","2020",..
"Austria","Offshore wind energy","Off-grid","2020",..
"Austria","Renewable hydropower","On-grid","2020",8933.232
"Austria","Renewable hydropower","Off-grid","2020",..
"Austria","Mixed Hydro Plants","On-grid","2020",5671.300
"Austria","Mixed Hydro Plants","Off-grid","2020",..
"Austria","Pumped storage","On-grid","2020",..
"Austria","Pumped storage","Off-grid","2020",..
"Austria","Marine energy","On-grid","2020",..
"Austria","Marine energy","Off-grid","2020",..
"Austria","Solid biofuels","On-grid","2020",816.199
"Austria","Solid biofuels","Off-grid","2020",..
"Austria","Renewable municipal waste","On-grid","2020",270.020
"Austria","Renewable municipal waste","Off-grid","2020",..
"Austria","Liquid biofuels","On-grid","2020",0.461
"Austria","Liquid biofuels","Off-grid","2020",..
"Austria","Biogas","On-grid","2020",164.579
"Austria","Biogas","Off-grid","2020",..
"Austria","Geothermal energy","On-grid","2020",0.915
"Austria","Geothermal energy","Off-grid","2020",..
"Austria","Coal and peat","On-grid","2020",..
"Austria","Coal and peat","Off-grid","2020",..
"Austria","Oil","On-grid","2020",..
"Austria","Oil","Off-grid","2020",..
"Austria","Natural gas","On-grid","2020",..
"Austria","Natural gas","Off-grid","2020",..
"Austria","Fossil fuels n.e.s.","On-grid","2020",4479.871
"Austria","Fossil fuels n.e.s.","Off-grid","2020",..
"Austria","Nuclear","On-grid","2020",..
"Austria","Nuclear","Off-grid","2020",..
"Austria","Other non-renewable energy","On-grid","2020",706.260
"Austria","Other non-renewable energy","Off-grid","2020",..
"Azerbaijan","Solar photovoltaic","On-grid","2020",38.400
"Azerbaijan","Solar photovoltaic","Off-grid","2020",..
"Azerbaijan","Solar thermal energy","On-grid","2020",..
"Azerbaijan","Solar thermal energy","Off-grid","2020",..
"Azerbaijan","Onshore wind energy","On-grid","2020",66.000
"Azerbaijan","Onshore wind energy","Off-grid","2020",..
"Azerbaijan","Offshore wind energy","On-grid","2020",..
"Azerbaijan","Offshore wind energy","Off-grid","2020",..
"Azerbaijan","Renewable hydropower","On-grid","2020",1149.400
"Azerbaijan","Renewable hydropower","Off-grid","2020",..
"Azerbaijan","Mixed Hydro Plants","On-grid","2020",..
"Azerbaijan","Mixed Hydro Plants","Off-grid","2020",..
"Azerbaijan","Pumped storage","On-grid","2020",..
"Azerbaijan","Pumped storage","Off-grid","2020",..
"Azerbaijan","Marine energy","On-grid","2020",..
"Azerbaijan","Marine energy","Off-grid","2020",..
"Azerbaijan","Solid biofuels","On-grid","2020",..
"Azerbaijan","Solid biofuels","Off-grid","2020",..
"Azerbaijan","Renewable municipal waste","On-grid","2020",44.000
"Azerbaijan","Renewable municipal waste","Off-grid","2020",..
"Azerbaijan","Liquid biofuels","On-grid","2020",..
"Azerbaijan","Liquid biofuels","Off-grid","2020",..
"Azerbaijan","Biogas","On-grid","2020",1.050
"Azerbaijan","Biogas","Off-grid","2020",..
"Azerbaijan","Geothermal energy","On-grid","2020",..
"Azerbaijan","Geothermal energy","Off-grid","2020",..
"Azerbaijan","Coal and peat","On-grid","2020",..
"Azerbaijan","Coal and peat","Off-grid","2020",..
"Azerbaijan","Oil","On-grid","2020",..
"Azerbaijan","Oil","Off-grid","2020",..
"Azerbaijan","Natural gas","On-grid","2020",..
"Azerbaijan","Natural gas","Off-grid","2020",..
"Azerbaijan","Fossil fuels n.e.s.","On-grid","2020",6326.100
"Azerbaijan","Fossil fuels n.e.s.","Off-grid","2020",..
"Azerbaijan","Nuclear","On-grid","2020",..
