ANO;GRANDE REGIÃO;UF;MUNICÍPIO;CÓDIGO IBGE;PRODUTO;VENDAS
2020;REGIÃO SUDESTE;MG;BURITIZEIRO;3109402;QUEROSENE DE AVIAÇÃO;7601
2020;REGIÃO NORDESTE;MA;PACO DO LUMIAR;2107506;QUEROSENE DE AVIAÇÃO;102000
2020;REGIÃO NORDESTE;MA;LORETO;2106102;QUEROSENE DE AVIAÇÃO;50000
2020;REGIÃO NORDESTE;MA;SAMBAIBA;2109700;QUEROSENE DE AVIAÇÃO;90950
2020;REGIÃO NORDESTE;MA;SAO JOSE DE RIBAMAR;2111201;QUEROSENE DE AVIAÇÃO;6800
2020;REGIÃO NORDESTE;MA;SANTA INES;2109908;QUEROSENE DE AVIAÇÃO;2154
2020;REGIÃO NORDESTE;MA;IMPERATRIZ;2105302;QUEROSENE DE AVIAÇÃO;237942
2020;REGIÃO NORDESTE;MA;CODO;2103307;QUEROSENE DE AVIAÇÃO;21591
2020;REGIÃO NORDESTE;MA;CAROLINA;2102804;QUEROSENE DE AVIAÇÃO;65000
2020;REGIÃO NORDESTE;MA;DAVINOPOLIS;2103752;QUEROSENE DE AVIAÇÃO;488337
2020;REGIÃO NORDESTE;MA;IGARAPE DO MEIO;2105153;QUEROSENE DE AVIAÇÃO;28077
2020;REGIÃO NORDESTE;MA;GOVERNADOR ARCHER;2104503;QUEROSENE DE AVIAÇÃO;2000
2020;REGIÃO SUDESTE;MG;BARBACENA;3105608;QUEROSENE DE AVIAÇÃO;62910
2020;REGIÃO SUDESTE;MG;ASTOLFO DUTRA;3104601;QUEROSENE DE AVIAÇÃO;2004
2020;REGIÃO SUDESTE;MG;BELO HORIZONTE;3106200;QUEROSENE DE AVIAÇÃO;74848973
2020;REGIÃO SUDESTE;MG;BOCAIUVA;3107307;QUEROSENE DE AVIAÇÃO;4383
2020;REGIÃO SUDESTE;MG;BETIM;3106705;QUEROSENE DE AVIAÇÃO;372142
2020;REGIÃO SUDESTE;MG;ARCOS;3104205;QUEROSENE DE AVIAÇÃO;14000
2020;REGIÃO NORDESTE;MA;SAO RAIMUNDO DAS MANGABEIRAS;2111607;QUEROSENE DE AVIAÇÃO;32000
2020;REGIÃO NORDESTE;MA;SAO LUIS;2111300;QUEROSENE DE AVIAÇÃO;19628671
2020;REGIÃO NORDESTE;MA;TASSO FRAGOSO;2112001;QUEROSENE DE AVIAÇÃO;284000
2020;REGIÃO SUDESTE;MG;ALFENAS;3101607;QUEROSENE DE AVIAÇÃO;520
2020;REGIÃO NORDESTE;MA;TIMON;2112209;QUEROSENE DE AVIAÇÃO;25000
2020;REGIÃO NORDESTE;BA;JABORANDI;2917359;QUEROSENE DE AVIAÇÃO;155500
2020;REGIÃO NORDESTE;BA;ITAPETINGA;2916401;QUEROSENE DE AVIAÇÃO;1483
2020;REGIÃO NORDESTE;BA;JEQUIE;2918001;QUEROSENE DE AVIAÇÃO;24000
2020;REGIÃO NORDESTE;BA;LENCOIS;2919306;QUEROSENE DE AVIAÇÃO;24500
2020;REGIÃO NORDESTE;BA;LAURO DE FREITAS;2919207;QUEROSENE DE AVIAÇÃO;77567
2020;REGIÃO NORDESTE;BA;ILHEUS;2913606;QUEROSENE DE AVIAÇÃO;15000
2020;REGIÃO NORDESTE;BA;CORRENTINA;2909307;QUEROSENE DE AVIAÇÃO;394967
2020;REGIÃO NORDESTE;BA;COCOS;2908101;QUEROSENE DE AVIAÇÃO;18915
2020;REGIÃO NORDESTE;BA;FEIRA DE SANTANA;2910800;QUEROSENE DE AVIAÇÃO;16602
2020;REGIÃO NORDESTE;BA;GUANAMBI;2911709;QUEROSENE DE AVIAÇÃO;63475
