airport_id,name,federal_state,fuel_consumption_l,fraction,country,y,x
SNVB,VALENÇA,BA,206677.0,4.828224093664653e-05,BR,-13.29668645,-38.992338482280566
SNVC,VIÇOSA,MG,4873.0,1.138391596956984e-06,BR,-20.7465531,-42.840199827585536
SNVS,BREVES,PA,20968.0,4.898377797043718e-06,BR,-1.6351127,-50.44221729198899
SNYA,ALMEIRIM,PA,5580.0,1.3035553275230803e-06,BR,-1.47928445,-52.57808006493803
SNZA,POUSO ALEGRE,MG,4359.0,1.0183149951027073e-06,BR,-22.2890865,-45.919592421375825
SSCP,CORNÉLIO PROCÓPIO,PR,2853.0,6.664952239109942e-07,BR,-23.153039800000002,-50.60303981295276
SSCT,CIANORTE,PR,8318.0,1.943185163859674e-06,BR,-23.692075850000002,-52.64238296065088
SSFB,FRANCISCO BELTRÃO,PR,4502.0,1.0517215205213096e-06,BR,-26.05892195,-53.062941314576875
SSKM,CAMPO MOURÃO,PR,11031.0,2.576974698549659e-06,BR,-24.009449,-52.35696610253834
SSKW,CACOAL,RO,1028760.0,0.00024033074887861006,BR,-11.4964046,-61.44992918812463
SSOG,ARAPONGAS,PR,7134.0,1.6665884778762821e-06,BR,-23.35378915,-51.491387491949524
SSOU,ARIPUANÃ,MT,721.0,1.684342994881973e-07,BR,-10.1872182,-59.4575804731363
SSPG,PARANAGUÁ,PR,4819.0,1.1257765454003089e-06,BR,-25.53969285,-48.53062440956646
SSPI,PARANAVAÍ,PR,8108.0,1.8941266300281603e-06,BR,-23.08972335,-52.490171446822714
SSSB,SÃO BORJA,RS,7129.0,1.6654204175469605e-06,BR,-28.65273785,-56.031004260587636
SSUV,UNIÃO DA VITÓRIA,PR,8625.0,2.01490406808003e-06,BR,-26.23353875,-51.06653433238267
SSZR,SANTA ROSA,RS,13699.0,3.2002516902757486e-06,BR,-27.90718635,-54.52187693431458
SWBC,BARCELOS,AM,40365.0,9.42975103861454e-06,BR,-0.9797751,-62.92253406685408
SWCA,CARAUARI,AM,220306.0,5.146613978231178e-05,BR,-4.87146245,-66.89752105783637
SWEI,EIRUNEPÉ,AM,124657.0,2.9121379294452442e-05,BR,-6.63934205,-69.881439864414
SWFX,SÃO FÉLIX DO ARAGUAIA,MT,19876.0,4.643273421119847e-06,BR,-11.632334199999999,-50.68919754280353
SWGN,ARAGUAÍNA,TO,466200.0,0.00010890994510596057,BR,-7.2280456,-48.24099228052751
SWHP,ÁGUA BOA,MT,55491.0,1.2963367146878718e-05,BR,-14.01962765,-52.15026599220484
SWJN,JUÍNA,MT,25131.0,5.870904827237012e-06,BR,-11.41979945,-58.70898540544404
SWKO,COARI,AM,60636.0,1.4165301225750805e-05,BR,-4.1331087,-63.13174905775732
SWLB,LÁBREA,AM,56153.0,1.3118018334480918e-05,BR,-7.2795064499999995,-64.76944159805764
SWLC,RIO VERDE,GO,423612.0,9.896087444492958e-05,BR,-17.834426,-50.9559705443272
SWMW,MAUÉS,AM,17193.0,4.016492248405792e-06,BR,-3.3699246499999997,-57.724955102848156
SWRD,RONDONÓPOLIS,MT,4827.0,1.1276454419272237e-06,BR,-16.5834324,-54.72481645658263
SWTS,TANGARÁ DA SERRA,MT,39599.0,9.250804196162447e-06,BR,-14.66279795,-57.44358442390656
