name,bus0,bus1,carrier,s_nom,length,investment_cost,underwater_fraction
US0 99_AC|US0 110_AC,US0 99_AC,US0 110_AC,AC,30.662,593.7016194,872765.2082999999,0.0
US0 41_AC|US0 99_AC,US0 41_AC,US0 99_AC,AC,3938.4,78.7289128,102426.10979999999,0.0
US0 110_AC|US0 121_AC,US0 110_AC,US0 121_AC,AC,308.981,529.3762996,1406777.0636999998,0.0
US0 1_AC|US0 121_AC,US0 1_AC,US0 121_AC,AC,9328.34,673.6858174,1578359.0871,0.0
US0 23_AC|US0 121_AC,US0 23_AC,US0 121_AC,AC,436.768,382.5562114,1170442.5636,0.0
US0 1_AC|US0 12_AC,US0 1_AC,US0 12_AC,AC,4701.644,185.7339294,651148.3716000001,0.0
US0 1_AC|US0 34_AC,US0 1_AC,US0 34_AC,AC,8751.271,434.0229046,980162.0678999999,0.0
US0 1_AC|US0 54_AC,US0 1_AC,US0 54_AC,AC,811.0,432.4940316,1001975.8842000001,0.0
US0 1_AC|US0 133_AC,US0 1_AC,US0 133_AC,AC,4899.847,607.8959982,1182533.2668,0.0
US0 23_AC|US0 34_AC,US0 23_AC,US0 34_AC,AC,1195.72,648.161685,953468.3742000001,0.0
US0 23_AC|US0 41_AC,US0 23_AC,US0 41_AC,AC,500.0,653.0540786,910724.1153,0.0
US0 23_AC|US0 52_AC,US0 23_AC,US0 52_AC,AC,894.873,733.6015456,1063249.3181999999,0.0
US0 34_AC|US0 41_AC,US0 34_AC,US0 41_AC,AC,0.0,1011.7598711999999,1257999.966,0.0
US0 34_AC|US0 54_AC,US0 34_AC,US0 54_AC,AC,1477.175,237.60295759999997,326884.99679999996,0.0
US0 34_AC|US0 133_AC,US0 34_AC,US0 133_AC,AC,5757.3,464.34287019999994,614731.5648,0.0
US0 40_AC|US0 41_AC,US0 40_AC,US0 41_AC,AC,2609.012,434.1355584,642464.8668,0.0
US0 40_AC|US0 43_AC,US0 40_AC,US0 43_AC,AC,822.752,270.1759992,508234.8438,0.0
US0 41_AC|US0 42_AC,US0 41_AC,US0 42_AC,AC,2891.905,397.1207384,482960.0043,0.0
US0 41_AC|US0 43_AC,US0 41_AC,US0 43_AC,AC,2099.148,536.071154,937996.7085,0.0
US0 42_AC|US0 43_AC,US0 42_AC,US0 43_AC,AC,271.0,497.96198280000004,668066.382,0.0
