complete_name,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,projectID,GCPT,GGPT,GEO,GPD,GCPT_len,GCPT_technology,GCPT_coal_type,GCPT_emission_factor,Captive,GPD_len,GPD_source,GPD_url,GEO_len,GEO_technology,GEO_fueltype,TODO
Mong Duong 2320 2060,Mong Duong,Hard Coal subcritical,subcritical,PP,VN,2320.0,,"{'GCPT': {'G106995', 'G106996', 'G106994', 'G106993'}, 'GPD': {'WRI1030767', 'WRI1030768'}}","['G106994', 'G106993', 'G106995', 'G106996']",,[],"['WRI1030767', 'WRI1030768']",4,subcritical,anthracite,98300.0,,2,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Nghi Son 1920 2058,Nghi Son,Hard Coal subcritical,subcritical,PP,VN,1920.0,,"{'GCPT': {'G107412', 'G107411', 'G107410', 'G107413'}, 'GPD': {'WRI1030759'}}","['G107410', 'G107411', 'G107412', 'G107413']",,[],['WRI1030759'],4,subcritical,anthracite,94600.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Nong Son 30 2059,Nong Son,Hard Coal subcritical,subcritical,PP,VN,30.0,,"{'GCPT': {'G107494'}, 'GPD': {'WRI1030756'}}",['G107494'],,[],['WRI1030756'],1,subcritical,anthracite,98300.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Son Dong 220 2054,Son Dong,Hard Coal CFB,CFB,PP,VN,220.0,,"{'GCPT': {'G109507', 'G109506'}, 'GPD': {'WRI1030772'}}","['G109506', 'G109507']",,[],['WRI1030772'],2,CFB,anthracite,98300.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Thai Binh Center 1800 2062,Thai Binh Center,Hard Coal subcritical,subcritical,PP,VN,1800.0,,"{'GCPT': {'G110041', 'G110042', 'G110043', 'G110044'}, 'GPD': {'WRI1075848'}}","['G110042', 'G110043', 'G110041', 'G110044']",,[],['WRI1075848'],4,subcritical,anthracite,98300.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Vinh Tan 4244 2059,Vinh Tan,Hard Coal supercritical,supercritical,PP,VN,4244.0,,"{'GCPT': {'G110614', 'G110618', 'G110619', 'G110611', 'G110613', 'G110612', 'G110620'}, 'GPD': {'WRI1030751'}}","['G110614', 'G110612', 'G110618', 'G110619', 'G110620', 'G110611', 'G110613']",,[],['WRI1030751'],7,supercritical,anthracite,98300.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Vung Ang 2400 2059,Vung Ang,Hard Coal subcritical,subcritical,PP,VN,2400.0,,"{'GCPT': {'G110668', 'G110671', 'G110670', 'G110669'}, 'GPD': {'WRI1030758'}}","['G110671', 'G110668', 'G110669', 'G110670']",,[],['WRI1030758'],4,subcritical,anthracite,94600.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Duyen Hai Generation Complex 4378 2060,Duyen Hai Generation Complex,Hard Coal supercritical,supercritical,PP,VN,4378.0,,"{'GCPT': {'G102530', 'G102535', 'G102536', 'G114509', 'G102531', 'G102534', 'G102532'}, 'GPD': {'WRI1030732', 'WRI1030731'}}","['G102531', 'G102535', 'G114509', 'G102536', 'G102534', 'G102532', 'G102530']",,[],"['WRI1030731', 'WRI1030732']",7,supercritical,bituminous,94600.0,,2,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Irpc 307 2057,Irpc,Hard Coal,unknown,CHP,TH,307.0,,"{'GCPT': {'G114525'}, 'GGPT': {'L405397'}}",['G114525'],{'L405397'},[],[],1,unknown,unknown,96100.0,oil & refining,0,,,0,,,
Kaltim 200 2058,Kaltim,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G105496', 'G105497'}, 'GGPT': {'L405940'}}","['G105496', 'G105497']",{'L405940'},[],[],2,subcritical,unknown,96100.0,,0,,,0,,,
Adipala 660 2059,Adipala,Hard Coal supercritical,supercritical,PP,ID,660.0,,"{'GCPT': {'G100040'}, 'GEO': {'GEO-44708'}}",['G100040'],,['GEO-44708'],[],1,supercritical,subbituminous,96100.0,,0,,,1,supercritical,Coal Subbutiminous,
Ha Tinh Formosa Plastics Steel Complex 450 2060,Ha Tinh Formosa Plastics Steel Complex,Hard Coal,unknown,PP,VN,450.0,,"{'GCPT': {'G103520', 'G103517', 'G103519'}, 'GPD': {'WRI1030757'}}","['G103517', 'G103519', 'G103520']",,[],['WRI1030757'],3,unknown,anthracite,98300.0,iron & steel,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
An Khanh 100 2060,An Khanh,Hard Coal CFB,CFB,PP,VN,100.0,,"{'GCPT': {'G100190', 'G100191'}, 'GPD': {'WRI1030773'}}","['G100190', 'G100191']",,[],['WRI1030773'],2,CFB,anthracite,98300.0,,1,Vietnam Electricity Annual Report,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,0,,,
Amurang 120 2057,Amurang,Hard Coal subcritical,subcritical,PP,ID,120.0,,"{'GCPT': {'G100180', 'G113971', 'G113972', 'G100181'}, 'GPD': {'WRI1075799'}}","['G113972', 'G113971', 'G100180', 'G100181']",,[],['WRI1075799'],4,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Ketapang Smelter 220 2061,Ketapang Smelter,Hard Coal subcritical,subcritical,PP,ID,220.0,,"{'GCPT': {'G114899', 'G105680', 'G114900', 'G105679'}, 'GPD': {'WRI1075808'}}","['G114899', 'G114900', 'G105679', 'G105680']",,[],['WRI1075808'],4,subcritical,unknown,96100.0,aluminum,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Banjarsari 220 2060,Banjarsari,Hard Coal subcritical,subcritical,PP,ID,220.0,,"{'GCPT': {'G100520', 'G100519'}, 'GPD': {'WRI1000913'}}","['G100520', 'G100519']",,[],['WRI1000913'],2,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Banten Serang 660 2062,Banten Serang,Hard Coal supercritical,supercritical,PP,ID,660.0,,"{'GCPT': {'G100536'}, 'GPD': {'WRI1075800'}}",['G100536'],,[],['WRI1075800'],1,supercritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Banten Suralaya 6025 2029,Banten Suralaya,Hard Coal subcritical,subcritical,PP,ID,6025.0,,"{'GCPT': {'G100539', 'G100538', 'G100541', 'G100537', 'G100545', 'G100543', 'G113472', 'G100540', 'G100542', 'G100544'}, 'GPD': {'WRI1000982'}}","['G100544', 'G100538', 'G113472', 'G100539', 'G100545', 'G100542', 'G100543', 'G100541', 'G100540', 'G100537']",,[],['WRI1000982'],10,subcritical,subbituminous,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Barru 200 2058,Barru,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G100642', 'G100641', 'G100643'}, 'GPD': {'WRI1000979'}}","['G100642', 'G100641', 'G100643']",,[],['WRI1000979'],3,subcritical,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Batu Hijau 124 2044,Batu Hijau,Hard Coal subcritical,subcritical,PP,ID,124.0,,"{'GCPT': {'G100663', 'G100664', 'G100665', 'G100662'}, 'GPD': {'WRI1075801'}}","['G100662', 'G100664', 'G100665', 'G100663']",,[],['WRI1075801'],4,subcritical,unknown,96100.0,other metals & mining,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Bukit Asam Muara Enim 260 2032,Bukit Asam Muara Enim,Hard Coal subcritical,subcritical,PP,ID,260.0,,"{'GCPT': {'G101100', 'G101097', 'G101098', 'G101099'}, 'GPD': {'WRI1000988', 'WRI1000919'}}","['G101100', 'G101097', 'G101098', 'G101099']",,[],"['WRI1000988', 'WRI1000919']",4,subcritical,subbituminous,96100.0,,2,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Celukan Bawang 426 2060,Celukan Bawang,Hard Coal subcritical,subcritical,PP,ID,426.0,,"{'GCPT': {'G101254', 'G101255', 'G101256'}, 'GPD': {'WRI1075802'}}","['G101256', 'G101255', 'G101254']",,[],['WRI1075802'],3,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Cikarang Babelan 280 2062,Cikarang Babelan,Hard Coal subcritical,subcritical,PP,ID,280.0,,"{'GCPT': {'G101579', 'G101580'}, 'GPD': {'WRI1075803'}}","['G101579', 'G101580']",,[],['WRI1075803'],2,subcritical,unknown,96100.0,industrial park,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Embalut 60 2059,Embalut,Hard Coal subcritical,subcritical,PP,ID,60.0,,"{'GCPT': {'G102626'}, 'GPD': {'WRI1000925'}}",['G102626'],,[],['WRI1000925'],1,subcritical,unknown,96100.0,,1,Indonesia Power Generation,https://repit.wordpress.com/,0,,,
Kalteng Pulang Pisau 120 2060,Kalteng Pulang Pisau,Hard Coal subcritical,subcritical,PP,ID,120.0,,"{'GCPT': {'G105489', 'G105488'}, 'GPD': {'WRI1075805'}}","['G105489', 'G105488']",,[],['WRI1075805'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Kaltim Teluk Balikpapan 220 2060,Kaltim Teluk Balikpapan,Hard Coal subcritical,subcritical,PP,ID,220.0,,"{'GCPT': {'G105493', 'G105492'}, 'GPD': {'WRI1075806'}}","['G105493', 'G105492']",,[],['WRI1075806'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Keban Agung 270 2060,Keban Agung,Hard Coal subcritical,subcritical,PP,ID,270.0,,"{'GCPT': {'G105633', 'G105632'}, 'GPD': {'WRI1075807'}}","['G105632', 'G105633']",,[],['WRI1075807'],2,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Sihanoukville Ciidg 1105 2059,Sihanoukville Ciidg,Hard Coal subcritical,subcritical,PP,KH,1105.0,,"{'GCPT': {'G114128', 'G109372', 'G114129', 'G109371', 'G109370'}, 'GPD': {'WRI1075837'}}","['G109371', 'G114129', 'G109372', 'G114128', 'G109370']",,[],['WRI1075837'],5,subcritical,unknown,96100.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Lampung Sebalang 200 2060,Lampung Sebalang,Hard Coal subcritical,subcritical,PP,ID,200.0,,"{'GCPT': {'G106137', 'G106136'}, 'GPD': {'WRI1075809'}}","['G106136', 'G106137']",,[],['WRI1075809'],2,subcritical,bituminous,94600.0,,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Medan Steel Mill 60 2062,Medan Steel Mill,Hard Coal subcritical,subcritical,PP,ID,60.0,,"{'GCPT': {'G113841', 'G113840'}, 'GPD': {'WRI1075810'}}","['G113841', 'G113840']",,[],['WRI1075810'],2,subcritical,unknown,96100.0,iron & steel,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
Merak 120 2059,Merak,Hard Coal subcritical,subcritical,PP,ID,120.0,,"{'GCPT': {'G106865', 'G106864'}, 'GPD': {'WRI1075811'}}","['G106864', 'G106865']",,[],['WRI1075811'],2,subcritical,unknown,96100.0,chemicals,1,GCPT,https://endcoal.org/global-coal-plant-tracker/,0,,,
