,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
49,SSGPO Rudny CHP - 1,Hard Coal,Steam Turbine,CHP,KZ,267.0,,,0.0,0.0,0.0,1961,,,2111,52.98947,63.12995,,,
50,GTPP Akshabulak,OCGT,OCGT,PP,KZ,87.0,,,0.0,0.0,0.0,2012,,,2162,45.949594,65.693342,,,
51,Kyzylorda CHP,CCGT,CCGT,CHP,KZ,67.0,,,0.0,0.0,0.0,1976,,,2126,44.865723,65.457112,,,
52,KOGTES,CCGT,CCGT,PP,KZ,48.0,,,0.0,0.0,0.0,2006,,,2156,44.840104,65.517443,,,
53,Kazatomprom MAEC CHP 1  - 3,CCGT,CCGT,CHP,KZ,75.0,,,0.0,0.0,0.0,1962,,,2112,43.630859,51.22382,,,
54,Kazatomprom MAEC CHP 2 - 1,CCGT,CCGT,CHP,KZ,630.0,,,0.0,0.0,0.0,1968,,,2118,43.657273,51.16691,,,
55,Kazatomprom MAEC TPP 3 -1,CCGT,CCGT,PP,KZ,625.0,,,0.0,0.0,0.0,1983,,,2133,43.657273,51.16691,,,
56,Aksuskaya,Hard Coal,Steam Turbine,PP,KZ,2450.0,,,0.0,0.0,0.0,1968,,,2118,52.11861,76.87583,,,
57,Ekibastuz CHP,Hard Coal,Steam Turbine,CHP,KZ,12.0,,,0.0,0.0,0.0,2009,,,2159,51.69556,75.32972,,,
58,Ekibastuz TTP 1,Hard Coal,Steam Turbine,PP,KZ,3500.0,,,0.0,0.0,0.0,1980,,,2130,51.886421,75.37668,,,
59,Ekibastuz TTP 2,Hard Coal,Steam Turbine,CHP,KZ,1000.0,,,0.0,0.0,0.0,1990,,,2140,52.02313,75.47436,,,
60,Pavlodarenergo Pavlodar CHP 2,Hard Coal,Steam Turbine,CHP,KZ,110.0,,,0.0,0.0,0.0,1961,,,2111,52.322186,76.966245,,,
61,Aluminium of Kazakhstan Pavlodar CHP 1,Hard Coal,Steam Turbine,CHP,KZ,350.0,,,0.0,0.0,0.0,1964,,,2114,52.2502,77.05818,,,
